bin_id,dataset_id,exposure_id,t_setting,s_eV2,beta_open_channel,channel_open,analyzer_projector,observed_count,calibration_id,response_kernel_version,quality_mask
BIN-0001-0001-01,SIM-0001,EXP-0001-0001,-0.6,0.00034,0,0,H,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0001-02,SIM-0001,EXP-0001-0001,-0.6,0.00034,0,0,V,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0001-03,SIM-0001,EXP-0001-0001,-0.6,0.00034,0,0,D,1,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0001-04,SIM-0001,EXP-0001-0001,-0.6,0.00034,0,0,A,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0001-05,SIM-0001,EXP-0001-0001,-0.6,0.00034,0,0,R,1,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0001-06,SIM-0001,EXP-0001-0001,-0.6,0.00034,0,0,L,1,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0002-01,SIM-0001,EXP-0001-0002,-0.4,0.00036,0,0,H,3,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0002-02,SIM-0001,EXP-0001-0002,-0.4,0.00036,0,0,V,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0002-03,SIM-0001,EXP-0001-0002,-0.4,0.00036,0,0,D,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0002-04,SIM-0001,EXP-0001-0002,-0.4,0.00036,0,0,A,1,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0002-05,SIM-0001,EXP-0001-0002,-0.4,0.00036,0,0,R,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0002-06,SIM-0001,EXP-0001-0002,-0.4,0.00036,0,0,L,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0003-01,SIM-0001,EXP-0001-0003,-0.25,0.000375,0,0,H,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0003-02,SIM-0001,EXP-0001-0003,-0.25,0.000375,0,0,V,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0003-03,SIM-0001,EXP-0001-0003,-0.25,0.000375,0,0,D,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0003-04,SIM-0001,EXP-0001-0003,-0.25,0.000375,0,0,A,1,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0003-05,SIM-0001,EXP-0001-0003,-0.25,0.000375,0,0,R,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0003-06,SIM-0001,EXP-0001-0003,-0.25,0.000375,0,0,L,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0004-01,SIM-0001,EXP-0001-0004,-0.12,0.000388,0,0,H,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0004-02,SIM-0001,EXP-0001-0004,-0.12,0.000388,0,0,V,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0004-03,SIM-0001,EXP-0001-0004,-0.12,0.000388,0,0,D,1,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0004-04,SIM-0001,EXP-0001-0004,-0.12,0.000388,0,0,A,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0004-05,SIM-0001,EXP-0001-0004,-0.12,0.000388,0,0,R,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0004-06,SIM-0001,EXP-0001-0004,-0.12,0.000388,0,0,L,1,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0005-01,SIM-0001,EXP-0001-0005,-0.04,0.000396,0,0,H,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0005-02,SIM-0001,EXP-0001-0005,-0.04,0.000396,0,0,V,1,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0005-03,SIM-0001,EXP-0001-0005,-0.04,0.000396,0,0,D,1,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0005-04,SIM-0001,EXP-0001-0005,-0.04,0.000396,0,0,A,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0005-05,SIM-0001,EXP-0001-0005,-0.04,0.000396,0,0,R,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0005-06,SIM-0001,EXP-0001-0005,-0.04,0.000396,0,0,L,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0006-01,SIM-0001,EXP-0001-0006,0.015,0.0004015,0.0611227456628,1,H,5,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0006-02,SIM-0001,EXP-0001-0006,0.015,0.0004015,0.0611227456628,1,V,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0006-03,SIM-0001,EXP-0001-0006,0.015,0.0004015,0.0611227456628,1,D,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0006-04,SIM-0001,EXP-0001-0006,0.015,0.0004015,0.0611227456628,1,A,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0006-05,SIM-0001,EXP-0001-0006,0.015,0.0004015,0.0611227456628,1,R,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0006-06,SIM-0001,EXP-0001-0006,0.015,0.0004015,0.0611227456628,1,L,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0007-01,SIM-0001,EXP-0001-0007,0.0193047470746,0.000401930474707,0.0693037268978,1,H,1,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0007-02,SIM-0001,EXP-0001-0007,0.0193047470746,0.000401930474707,0.0693037268978,1,V,0,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0007-03,SIM-0001,EXP-0001-0007,0.0193047470746,0.000401930474707,0.0693037268978,1,D,4,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0007-04,SIM-0001,EXP-0001-0007,0.0193047470746,0.000401930474707,0.0693037268978,1,A,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0007-05,SIM-0001,EXP-0001-0007,0.0193047470746,0.000401930474707,0.0693037268978,1,R,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0007-06,SIM-0001,EXP-0001-0007,0.0193047470746,0.000401930474707,0.0693037268978,1,L,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0008-01,SIM-0001,EXP-0001-0008,0.0248448839742,0.000402484488397,0.0785676770212,1,H,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0008-02,SIM-0001,EXP-0001-0008,0.0248448839742,0.000402484488397,0.0785676770212,1,V,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0008-03,SIM-0001,EXP-0001-0008,0.0248448839742,0.000402484488397,0.0785676770212,1,D,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0008-04,SIM-0001,EXP-0001-0008,0.0248448839742,0.000402484488397,0.0785676770212,1,A,3,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0008-05,SIM-0001,EXP-0001-0008,0.0248448839742,0.000402484488397,0.0785676770212,1,R,4,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0008-06,SIM-0001,EXP-0001-0008,0.0248448839742,0.000402484488397,0.0785676770212,1,L,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0009-01,SIM-0001,EXP-0001-0009,0.031974946748,0.000403197494675,0.089052476711,1,H,4,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0009-02,SIM-0001,EXP-0001-0009,0.031974946748,0.000403197494675,0.089052476711,1,V,3,CAL-20260811-001,equal-diagonal-PL-v2,PASS
BIN-0001-0009-03,SIM-0001,EXP-0001-0009,0.031974946748,0.000403197494675,0.089052476711,1,D,2,CAL-20260811-001,equal-diagonal-PL-v2,PASS
