event_id,dataset_id,tdc_time_ns,pulse_id,exposure_id,detector_id,basis,outcome,pulse_height_mV,time_over_threshold_ns,gate_code,veto_bits,calibration_id,clock_calibration_id,quality_mask
EVT-000000000001,SIM-0001,2026081102697000050,PULSE-EXP-0001-0005-02697,EXP-0001-0005,SNSPD-03,X,+,35.363645,7.154060,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000002,SIM-0001,2026081106950000073,PULSE-EXP-0001-0005-06950,EXP-0001-0005,SNSPD-02,Z,-,32.340577,7.925422,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000003,SIM-0001,2026081111649000036,PULSE-EXP-0001-0002-00649,EXP-0001-0002,SNSPD-01,Z,+,33.829391,8.514726,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000004,SIM-0001,2026081114914000140,PULSE-EXP-0001-0002-03914,EXP-0001-0002,SNSPD-04,X,-,33.049373,7.888740,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000005,SIM-0001,2026081115675000015,PULSE-EXP-0001-0002-04675,EXP-0001-0002,SNSPD-01,Z,+,29.346309,8.745715,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000006,SIM-0001,2026081119581000035,PULSE-EXP-0001-0002-08581,EXP-0001-0002,SNSPD-01,Z,+,31.881750,7.720425,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000007,SIM-0001,2026081122519000054,PULSE-EXP-0001-0001-00519,EXP-0001-0001,SNSPD-06,Y,-,29.764533,8.676921,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000008,SIM-0001,2026081126264000071,PULSE-EXP-0001-0001-04264,EXP-0001-0001,SNSPD-03,X,+,33.522778,7.801582,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000009,SIM-0001,2026081130832000021,PULSE-EXP-0001-0001-08832,EXP-0001-0001,SNSPD-05,Y,+,31.689437,8.088971,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
EVT-000000000010,SIM-0001,2026081133143000129,PULSE-EXP-0001-0012-00143,EXP-0001-0012,SNSPD-02,Z,-,31.310950,8.474450,SIGNAL,0x0000,CAL-20260811-001,CLOCK-20260811-001,PASS
