bin_id,dataset_id,true_hypothesis,poisson_seed,expected_signal,expected_background,expected_total
BIN-0001-0001-01,SIM-0001,D,20260811,0,0.684857265297,0.684857265297
BIN-0001-0001-02,SIM-0001,D,20260811,0,0.684857265297,0.684857265297
BIN-0001-0001-03,SIM-0001,D,20260811,0,0.684857265297,0.684857265297
BIN-0001-0001-04,SIM-0001,D,20260811,0,0.684857265297,0.684857265297
BIN-0001-0001-05,SIM-0001,D,20260811,0,0.684857265297,0.684857265297
BIN-0001-0001-06,SIM-0001,D,20260811,0,0.684857265297,0.684857265297
BIN-0001-0002-01,SIM-0001,D,20260811,0,0.697477511214,0.697477511214
BIN-0001-0002-02,SIM-0001,D,20260811,0,0.697477511214,0.697477511214
BIN-0001-0002-03,SIM-0001,D,20260811,0,0.697477511214,0.697477511214
BIN-0001-0002-04,SIM-0001,D,20260811,0,0.697477511214,0.697477511214
BIN-0001-0002-05,SIM-0001,D,20260811,0,0.697477511214,0.697477511214
BIN-0001-0002-06,SIM-0001,D,20260811,0,0.697477511214,0.697477511214
BIN-0001-0003-01,SIM-0001,D,20260811,0,0.706665552361,0.706665552361
BIN-0001-0003-02,SIM-0001,D,20260811,0,0.706665552361,0.706665552361
BIN-0001-0003-03,SIM-0001,D,20260811,0,0.706665552361,0.706665552361
BIN-0001-0003-04,SIM-0001,D,20260811,0,0.706665552361,0.706665552361
BIN-0001-0003-05,SIM-0001,D,20260811,0,0.706665552361,0.706665552361
BIN-0001-0003-06,SIM-0001,D,20260811,0,0.706665552361,0.706665552361
BIN-0001-0004-01,SIM-0001,D,20260811,7.59797821807e-07,0.714425321017,0.714426080815
BIN-0001-0004-02,SIM-0001,D,20260811,4.79964627907e-07,0.714425321017,0.714425800981
BIN-0001-0004-03,SIM-0001,D,20260811,6.32730807805e-07,0.714425321017,0.714425953747
BIN-0001-0004-04,SIM-0001,D,20260811,6.07031641909e-07,0.714425321017,0.714425928048
BIN-0001-0004-05,SIM-0001,D,20260811,6.19881224857e-07,0.714425321017,0.714425940898
BIN-0001-0004-06,SIM-0001,D,20260811,6.19881224857e-07,0.714425321017,0.714425940898
BIN-0001-0005-01,SIM-0001,D,20260811,0.0799212623132,0.719103016909,0.799024279223
BIN-0001-0005-02,SIM-0001,D,20260811,0.050540127855,0.719103016909,0.769643144764
BIN-0001-0005-03,SIM-0001,D,20260811,0.0665794001705,0.719103016909,0.78568241708
BIN-0001-0005-04,SIM-0001,D,20260811,0.0638819899977,0.719103016909,0.782985006907
BIN-0001-0005-05,SIM-0001,D,20260811,0.0652306950841,0.719103016909,0.784333711993
BIN-0001-0005-06,SIM-0001,D,20260811,0.0652306950841,0.719103016909,0.784333711993
BIN-0001-0006-01,SIM-0001,D,20260811,1.74424111392,0.722274613765,2.46651572769
BIN-0001-0006-02,SIM-0001,D,20260811,1.10573225772,0.722274613765,1.82800687148
BIN-0001-0006-03,SIM-0001,D,20260811,1.45427443108,0.722274613765,2.17654904485
BIN-0001-0006-04,SIM-0001,D,20260811,1.39569894056,0.722274613765,2.11797355432
BIN-0001-0006-05,SIM-0001,D,20260811,1.42498668582,0.722274613765,2.14726129959
BIN-0001-0006-06,SIM-0001,D,20260811,1.42498668582,0.722274613765,2.14726129959
